,code,Detailed List Numbers,Cause
194,A90,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
195,A91,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
196,A92,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
197,A93,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
198,A94,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
199,A95,,Yellow fever
200,A96,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
201,A97,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
202,A98,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
203,A99,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
204,B00,,Remainder of certain infectious and parasitic diseases
205,B01,,Remainder of certain infectious and parasitic diseases
206,B02,,Remainder of certain infectious and parasitic diseases
207,B03,,Remainder of certain infectious and parasitic diseases
208,B04,,Remainder of certain infectious and parasitic diseases
209,B05,,Measles
210,B06,,Remainder of certain infectious and parasitic diseases
211,B07,,Remainder of certain infectious and parasitic diseases
212,B08,,Remainder of certain infectious and parasitic diseases
213,B09,,Remainder of certain infectious and parasitic diseases
214,B10,,Certain infectious and parasitic diseases
215,B11,,Certain infectious and parasitic diseases
216,B12,,Certain infectious and parasitic diseases
217,B13,,Certain infectious and parasitic diseases
218,B14,,Certain infectious and parasitic diseases
219,B15,,Viral hepatitis
220,B16,,Viral hepatitis
221,B17,,Viral hepatitis
222,B18,,Viral hepatitis
223,B19,,Viral hepatitis
224,B20,,Human immunodeficiency virus [HIV] disease
225,B21,,Human immunodeficiency virus [HIV] disease
226,B22,,Human immunodeficiency virus [HIV] disease
227,B23,,Human immunodeficiency virus [HIV] disease
228,B24,,Human immunodeficiency virus [HIV] disease
229,B25,,Remainder of certain infectious and parasitic diseases
230,B26,,Remainder of certain infectious and parasitic diseases
231,B27,,Remainder of certain infectious and parasitic diseases
232,B28,,Remainder of certain infectious and parasitic diseases
233,B29,,Remainder of certain infectious and parasitic diseases
234,B30,,Remainder of certain infectious and parasitic diseases
235,B31,,Remainder of certain infectious and parasitic diseases
236,B32,,Remainder of certain infectious and parasitic diseases
237,B33,,Remainder of certain infectious and parasitic diseases
238,B34,,Remainder of certain infectious and parasitic diseases
239,B35,,Remainder of certain infectious and parasitic diseases
240,B36,,Remainder of certain infectious and parasitic diseases
241,B37,,Remainder of certain infectious and parasitic diseases
242,B38,,Remainder of certain infectious and parasitic diseases
243,B39,,Remainder of certain infectious and parasitic diseases
244,B40,,Remainder of certain infectious and parasitic diseases
245,B41,,Remainder of certain infectious and parasitic diseases
246,B42,,Remainder of certain infectious and parasitic diseases
247,B43,,Remainder of certain infectious and parasitic diseases
248,B44,,Remainder of certain infectious and parasitic diseases
249,B45,,Remainder of certain infectious and parasitic diseases
250,B46,,Remainder of certain infectious and parasitic diseases
251,B47,,Remainder of certain infectious and parasitic diseases
252,B48,,Remainder of certain infectious and parasitic diseases
253,B49,,Remainder of certain infectious and parasitic diseases
254,B50,,Malaria
255,B51,,Malaria
256,B52,,Malaria
257,B53,,Malaria
258,B54,,Malaria
259,B55,,Leishmaniasis
260,B56,,Trypanosomiasis
261,B57,,Trypanosomiasis
262,B58,,Remainder of certain infectious and parasitic diseases
263,B59,,Remainder of certain infectious and parasitic diseases
264,B60,,Remainder of certain infectious and parasitic diseases
265,B61,,Remainder of certain infectious and parasitic diseases
266,B62,,Remainder of certain infectious and parasitic diseases
267,B63,,Remainder of certain infectious and parasitic diseases
268,B64,,Remainder of certain infectious and parasitic diseases
269,B65,,Schistosomiasis
270,B66,,Remainder of certain infectious and parasitic diseases
271,B67,,Remainder of certain infectious and parasitic diseases
272,B68,,Remainder of certain infectious and parasitic diseases
273,B69,,Remainder of certain infectious and parasitic diseases
274,B70,,Remainder of certain infectious and parasitic diseases
275,B71,,Remainder of certain infectious and parasitic diseases
276,B72,,Remainder of certain infectious and parasitic diseases
277,B73,,Remainder of certain infectious and parasitic diseases
278,B74,,Remainder of certain infectious and parasitic diseases
279,B75,,Remainder of certain infectious and parasitic diseases
280,B76,,Remainder of certain infectious and parasitic diseases
281,B77,,Remainder of certain infectious and parasitic diseases
282,B78,,Remainder of certain infectious and parasitic diseases
283,B79,,Remainder of certain infectious and parasitic diseases
284,B80,,Remainder of certain infectious and parasitic diseases
285,B81,,Remainder of certain infectious and parasitic diseases
286,B82,,Remainder of certain infectious and parasitic diseases
287,B83,,Remainder of certain infectious and parasitic diseases
288,B84,,Remainder of certain infectious and parasitic diseases
289,B85,,Remainder of certain infectious and parasitic diseases
290,B86,,Remainder of certain infectious and parasitic diseases
291,B87,,Remainder of certain infectious and parasitic diseases
292,B88,,Remainder of certain infectious and parasitic diseases
293,B89,,Remainder of certain infectious and parasitic diseases
294,B90,,Remainder of certain infectious and parasitic diseases
295,B91,,Remainder of certain infectious and parasitic diseases
296,B92,,Remainder of certain infectious and parasitic diseases
297,B93,,Remainder of certain infectious and parasitic diseases
298,B94,,Remainder of certain infectious and parasitic diseases
299,B95,,Certain infectious and parasitic diseases
300,B96,,Certain infectious and parasitic diseases
301,B97,,Certain infectious and parasitic diseases
302,B98,,Certain infectious and parasitic diseases
303,B99,,Remainder of certain infectious and parasitic diseases
304,C00,,"Malignant neoplasm of lip, oral cavity and pharynx"
305,C01,,"Malignant neoplasm of lip, oral cavity and pharynx"
306,C02,,"Malignant neoplasm of lip, oral cavity and pharynx"
307,C03,,"Malignant neoplasm of lip, oral cavity and pharynx"
308,C04,,"Malignant neoplasm of lip, oral cavity and pharynx"
309,C05,,"Malignant neoplasm of lip, oral cavity and pharynx"
310,C06,,"Malignant neoplasm of lip, oral cavity and pharynx"
311,C07,,"Malignant neoplasm of lip, oral cavity and pharynx"
312,C08,,"Malignant neoplasm of lip, oral cavity and pharynx"
313,C09,,"Malignant neoplasm of lip, oral cavity and pharynx"
314,C10,,"Malignant neoplasm of lip, oral cavity and pharynx"
315,C11,,"Malignant neoplasm of lip, oral cavity and pharynx"
316,C12,,"Malignant neoplasm of lip, oral cavity and pharynx"
317,C13,,"Malignant neoplasm of lip, oral cavity and pharynx"
318,C14,,"Malignant neoplasm of lip, oral cavity and pharynx"
319,C15,,Malignant neoplasm of oesophagus
320,C16,,Malignant neoplasm of stomach
321,C17,,Remainder of malignant neoplasms
322,C18,,"Malignant neoplasm of colon, rectum and anus"
323,C19,,"Malignant neoplasm of colon, rectum and anus"
324,C20,,"Malignant neoplasm of colon, rectum and anus"
325,C21,,"Malignant neoplasm of colon, rectum and anus"
326,C22,,Malignant neoplasm of liver and intrahepatic bile ducts
327,C23,,Remainder of malignant neoplasms
328,C24,,Remainder of malignant neoplasms
329,C25,,Malignant neoplasm of pancreas
330,C26,,Remainder of malignant neoplasms
331,C27,,Remainder of malignant neoplasms
332,C28,,Remainder of malignant neoplasms
333,C29,,Remainder of malignant neoplasms
334,C30,,Remainder of malignant neoplasms
335,C31,,Remainder of malignant neoplasms
336,C32,,Malignant neoplasm of larynx
337,C33,,"Malignant neoplasm of trachea, bronchus and lung"
338,C34,,"Malignant neoplasm of trachea, bronchus and lung"
339,C35,,Neoplasms
340,C36,,Neoplasms
341,C37,,Remainder of malignant neoplasms
342,C38,,Remainder of malignant neoplasms
343,C39,,Remainder of malignant neoplasms
344,C40,,Remainder of malignant neoplasms
345,C41,,Remainder of malignant neoplasms
346,C42,,Neoplasms
347,C43,,Malignant melanoma of skin
348,C44,,Remainder of malignant neoplasms
349,C45,,Remainder of malignant neoplasms
350,C46,,Remainder of malignant neoplasms
351,C47,,Remainder of malignant neoplasms
352,C48,,Remainder of malignant neoplasms
353,C49,,Remainder of malignant neoplasms
354,C50,,Malignant neoplasm of breast
355,C51,,Remainder of malignant neoplasms
356,C52,,Remainder of malignant neoplasms
357,C53,,Malignant neoplasm of cervix uteri
358,C54,,Malignant neoplasm of other and unspecified parts of uterus
359,C55,,Malignant neoplasm of other and unspecified parts of uterus
360,C56,,Malignant neoplasm of ovary
361,C57,,Remainder of malignant neoplasms
362,C58,,Remainder of malignant neoplasms
363,C59,,Remainder of malignant neoplasms
364,C60,,Remainder of malignant neoplasms
365,C61,,Malignant neoplasm of prostate
366,C62,,Remainder of malignant neoplasms
367,C63,,Remainder of malignant neoplasms
368,C64,,Remainder of malignant neoplasms
369,C65,,Remainder of malignant neoplasms
370,C66,,Remainder of malignant neoplasms
371,C67,,Malignant neoplasm of bladder
372,C68,,Remainder of malignant neoplasms
373,C69,,Remainder of malignant neoplasms
374,C70,,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
375,C71,,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
376,C72,,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
377,C73,,Remainder of malignant neoplasms
378,C74,,Remainder of malignant neoplasms
379,C75,,Remainder of malignant neoplasms
380,C76,,Remainder of malignant neoplasms
381,C77,,Remainder of malignant neoplasms
382,C78,,Remainder of malignant neoplasms
383,C79,,Remainder of malignant neoplasms
384,C80,,Remainder of malignant neoplasms
385,C81,,Remainder of malignant neoplasms
386,C82,,Non-Hodgkin's lymphoma
387,C83,,Non-Hodgkin's lymphoma
388,C84,,Non-Hodgkin's lymphoma
389,C85,,Non-Hodgkin's lymphoma
390,C86,,Neoplasms
391,C87,,Neoplasms
392,C88,,Remainder of malignant neoplasms
393,C89,,Neoplasms
394,C90,,Multiple myeloma and malignant plasma cell neoplasms
395,C91,,Leukaemia
396,C92,,Leukaemia
397,C93,,Leukaemia
398,C94,,Leukaemia
399,C95,,Leukaemia
400,C96,,Remainder of malignant neoplasms
401,C97,,Remainder of malignant neoplasms
402,C98,,Neoplasms
403,C99,,Neoplasms
404,D00,,Remainder of neoplasms 
405,D01,,Remainder of neoplasms 
406,D02,,Remainder of neoplasms 
407,D03,,Remainder of neoplasms 
408,D04,,Remainder of neoplasms 
409,D05,,Remainder of neoplasms 
410,D06,,Remainder of neoplasms 
411,D07,,Remainder of neoplasms 
412,D08,,Remainder of neoplasms 
413,D09,,Remainder of neoplasms 
414,D10,,Remainder of neoplasms 
415,D11,,Remainder of neoplasms 
416,D12,,Remainder of neoplasms 
417,D13,,Remainder of neoplasms 
418,D14,,Remainder of neoplasms 
419,D15,,Remainder of neoplasms 
420,D16,,Remainder of neoplasms 
421,D17,,Remainder of neoplasms 
422,D18,,Remainder of neoplasms 
423,D19,,Remainder of neoplasms 
424,D20,,Remainder of neoplasms 
425,D21,,Remainder of neoplasms 
426,D22,,Remainder of neoplasms 
427,D23,,Remainder of neoplasms 
428,D24,,Remainder of neoplasms 
429,D25,,Remainder of neoplasms 
430,D26,,Remainder of neoplasms 
431,D27,,Remainder of neoplasms 
432,D28,,Remainder of neoplasms 
433,D29,,Remainder of neoplasms 
434,D30,,Remainder of neoplasms 
435,D31,,Remainder of neoplasms 
436,D32,,Remainder of neoplasms 
437,D33,,Remainder of neoplasms 
438,D34,,Remainder of neoplasms 
439,D35,,Remainder of neoplasms 
440,D36,,Remainder of neoplasms 
441,D37,,Remainder of neoplasms 
442,D38,,Remainder of neoplasms 
443,D39,,Remainder of neoplasms 
444,D40,,Remainder of neoplasms 
445,D41,,Remainder of neoplasms 
446,D42,,Remainder of neoplasms 
447,D43,,Remainder of neoplasms 
448,D44,,Remainder of neoplasms 
449,D45,,Remainder of neoplasms 
450,D46,,Remainder of neoplasms 
451,D47,,Remainder of neoplasms 
452,D48,,Remainder of neoplasms 
453,D50,,Anaemias
454,D51,,Anaemias
455,D52,,Anaemias
456,D53,,Anaemias
457,D54,,Anaemias
458,D55,,Anaemias
459,D56,,Anaemias
460,D57,,Anaemias
461,D58,,Anaemias
462,D59,,Anaemias
463,D60,,Anaemias
464,D61,,Anaemias
465,D62,,Anaemias
466,D63,,Anaemias
467,D64,,Anaemias
468,D65,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
469,D66,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
