,code,Detailed List Numbers,Cause
2334,A86,,Remainder of certain infectious and parasitic diseases
2335,A87,,Remainder of certain infectious and parasitic diseases
2336,A88,,Remainder of certain infectious and parasitic diseases
2337,A89,,Remainder of certain infectious and parasitic diseases
2338,A90,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2339,A91,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2340,A92,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2341,A93,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2342,A94,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2343,A95,,Yellow fever
2344,A96,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2345,A97,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2346,A98,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2347,A99,,Other arthropod-borne viral fevers and viral haemorrhagic fevers
2348,B00,,Remainder of certain infectious and parasitic diseases
2349,B01,,Remainder of certain infectious and parasitic diseases
2350,B02,,Remainder of certain infectious and parasitic diseases
2351,B03,,Remainder of certain infectious and parasitic diseases
2352,B04,,Remainder of certain infectious and parasitic diseases
2353,B05,,Measles
2354,B06,,Remainder of certain infectious and parasitic diseases
2355,B07,,Remainder of certain infectious and parasitic diseases
2356,B08,,Remainder of certain infectious and parasitic diseases
2357,B09,,Remainder of certain infectious and parasitic diseases
2358,B10,,Certain infectious and parasitic diseases
2359,B11,,Certain infectious and parasitic diseases
2360,B12,,Certain infectious and parasitic diseases
2361,B13,,Certain infectious and parasitic diseases
2362,B14,,Certain infectious and parasitic diseases
2363,B15,,Viral hepatitis
2364,B16,,Viral hepatitis
2365,B17,,Viral hepatitis
2366,B18,,Viral hepatitis
2367,B19,,Viral hepatitis
2368,B20,,Human immunodeficiency virus [HIV] disease
2369,B21,,Human immunodeficiency virus [HIV] disease
2370,B22,,Human immunodeficiency virus [HIV] disease
2371,B23,,Human immunodeficiency virus [HIV] disease
2372,B24,,Human immunodeficiency virus [HIV] disease
2373,B25,,Remainder of certain infectious and parasitic diseases
2374,B26,,Remainder of certain infectious and parasitic diseases
2375,B27,,Remainder of certain infectious and parasitic diseases
2376,B28,,Remainder of certain infectious and parasitic diseases
2377,B29,,Remainder of certain infectious and parasitic diseases
2378,B30,,Remainder of certain infectious and parasitic diseases
2379,B31,,Remainder of certain infectious and parasitic diseases
2380,B32,,Remainder of certain infectious and parasitic diseases
2381,B33,,Remainder of certain infectious and parasitic diseases
2382,B34,,Remainder of certain infectious and parasitic diseases
2383,B35,,Remainder of certain infectious and parasitic diseases
2384,B36,,Remainder of certain infectious and parasitic diseases
2385,B37,,Remainder of certain infectious and parasitic diseases
2386,B38,,Remainder of certain infectious and parasitic diseases
2387,B39,,Remainder of certain infectious and parasitic diseases
2388,B40,,Remainder of certain infectious and parasitic diseases
2389,B41,,Remainder of certain infectious and parasitic diseases
2390,B42,,Remainder of certain infectious and parasitic diseases
2391,B43,,Remainder of certain infectious and parasitic diseases
2392,B44,,Remainder of certain infectious and parasitic diseases
2393,B45,,Remainder of certain infectious and parasitic diseases
2394,B46,,Remainder of certain infectious and parasitic diseases
2395,B47,,Remainder of certain infectious and parasitic diseases
2396,B48,,Remainder of certain infectious and parasitic diseases
2397,B49,,Remainder of certain infectious and parasitic diseases
2398,B50,,Malaria
2399,B51,,Malaria
2400,B52,,Malaria
2401,B53,,Malaria
2402,B54,,Malaria
2403,B55,,Leishmaniasis
2404,B56,,Trypanosomiasis
2405,B57,,Trypanosomiasis
2406,B58,,Remainder of certain infectious and parasitic diseases
2407,B59,,Remainder of certain infectious and parasitic diseases
2408,B60,,Remainder of certain infectious and parasitic diseases
2409,B61,,Remainder of certain infectious and parasitic diseases
2410,B62,,Remainder of certain infectious and parasitic diseases
2411,B63,,Remainder of certain infectious and parasitic diseases
2412,B64,,Remainder of certain infectious and parasitic diseases
2413,B65,,Schistosomiasis
2414,B66,,Remainder of certain infectious and parasitic diseases
2415,B67,,Remainder of certain infectious and parasitic diseases
2416,B68,,Remainder of certain infectious and parasitic diseases
2417,B69,,Remainder of certain infectious and parasitic diseases
2418,B70,,Remainder of certain infectious and parasitic diseases
2419,B71,,Remainder of certain infectious and parasitic diseases
2420,B72,,Remainder of certain infectious and parasitic diseases
2421,B73,,Remainder of certain infectious and parasitic diseases
2422,B74,,Remainder of certain infectious and parasitic diseases
2423,B75,,Remainder of certain infectious and parasitic diseases
2424,B76,,Remainder of certain infectious and parasitic diseases
2425,B77,,Remainder of certain infectious and parasitic diseases
2426,B78,,Remainder of certain infectious and parasitic diseases
2427,B79,,Remainder of certain infectious and parasitic diseases
2428,B80,,Remainder of certain infectious and parasitic diseases
2429,B81,,Remainder of certain infectious and parasitic diseases
2430,B82,,Remainder of certain infectious and parasitic diseases
2431,B83,,Remainder of certain infectious and parasitic diseases
2432,B84,,Remainder of certain infectious and parasitic diseases
2433,B85,,Remainder of certain infectious and parasitic diseases
2434,B86,,Remainder of certain infectious and parasitic diseases
2435,B87,,Remainder of certain infectious and parasitic diseases
2436,B88,,Remainder of certain infectious and parasitic diseases
2437,B89,,Remainder of certain infectious and parasitic diseases
2438,B90,,Remainder of certain infectious and parasitic diseases
2439,B91,,Remainder of certain infectious and parasitic diseases
2440,B92,,Remainder of certain infectious and parasitic diseases
2441,B93,,Remainder of certain infectious and parasitic diseases
2442,B94,,Remainder of certain infectious and parasitic diseases
2443,B95,,Certain infectious and parasitic diseases
2444,B96,,Certain infectious and parasitic diseases
2445,B97,,Certain infectious and parasitic diseases
2446,B98,,Certain infectious and parasitic diseases
2447,B99,,Remainder of certain infectious and parasitic diseases
2448,C00,,"Malignant neoplasm of lip, oral cavity and pharynx"
2449,C01,,"Malignant neoplasm of lip, oral cavity and pharynx"
2450,C02,,"Malignant neoplasm of lip, oral cavity and pharynx"
2451,C03,,"Malignant neoplasm of lip, oral cavity and pharynx"
2452,C04,,"Malignant neoplasm of lip, oral cavity and pharynx"
2453,C05,,"Malignant neoplasm of lip, oral cavity and pharynx"
2454,C06,,"Malignant neoplasm of lip, oral cavity and pharynx"
2455,C07,,"Malignant neoplasm of lip, oral cavity and pharynx"
2456,C08,,"Malignant neoplasm of lip, oral cavity and pharynx"
2457,C09,,"Malignant neoplasm of lip, oral cavity and pharynx"
2458,C10,,"Malignant neoplasm of lip, oral cavity and pharynx"
2459,C11,,"Malignant neoplasm of lip, oral cavity and pharynx"
2460,C12,,"Malignant neoplasm of lip, oral cavity and pharynx"
2461,C13,,"Malignant neoplasm of lip, oral cavity and pharynx"
2462,C14,,"Malignant neoplasm of lip, oral cavity and pharynx"
2463,C15,,Malignant neoplasm of oesophagus
2464,C16,,Malignant neoplasm of stomach
2465,C17,,Remainder of malignant neoplasms
2466,C18,,"Malignant neoplasm of colon, rectum and anus"
2467,C19,,"Malignant neoplasm of colon, rectum and anus"
2468,C20,,"Malignant neoplasm of colon, rectum and anus"
2469,C21,,"Malignant neoplasm of colon, rectum and anus"
2470,C22,,Malignant neoplasm of liver and intrahepatic bile ducts
2471,C23,,Remainder of malignant neoplasms
2472,C24,,Remainder of malignant neoplasms
2473,C25,,Malignant neoplasm of pancreas
2474,C26,,Remainder of malignant neoplasms
2475,C27,,Remainder of malignant neoplasms
2476,C28,,Remainder of malignant neoplasms
2477,C29,,Remainder of malignant neoplasms
2478,C30,,Remainder of malignant neoplasms
2479,C31,,Remainder of malignant neoplasms
2480,C32,,Malignant neoplasm of larynx
2481,C33,,"Malignant neoplasm of trachea, bronchus and lung"
2482,C34,,"Malignant neoplasm of trachea, bronchus and lung"
2483,C35,,Neoplasms
2484,C36,,Neoplasms
2485,C37,,Remainder of malignant neoplasms
2486,C38,,Remainder of malignant neoplasms
2487,C39,,Remainder of malignant neoplasms
2488,C40,,Remainder of malignant neoplasms
2489,C41,,Remainder of malignant neoplasms
2490,C42,,Neoplasms
2491,C43,,Malignant melanoma of skin
2492,C44,,Remainder of malignant neoplasms
2493,C45,,Remainder of malignant neoplasms
2494,C46,,Remainder of malignant neoplasms
2495,C47,,Remainder of malignant neoplasms
2496,C48,,Remainder of malignant neoplasms
2497,C49,,Remainder of malignant neoplasms
2498,C50,,Malignant neoplasm of breast
2499,C51,,Remainder of malignant neoplasms
2500,C52,,Remainder of malignant neoplasms
2501,C53,,Malignant neoplasm of cervix uteri
2502,C54,,Malignant neoplasm of other and unspecified parts of uterus
2503,C55,,Malignant neoplasm of other and unspecified parts of uterus
2504,C56,,Malignant neoplasm of ovary
2505,C57,,Remainder of malignant neoplasms
2506,C58,,Remainder of malignant neoplasms
2507,C59,,Remainder of malignant neoplasms
2508,C60,,Remainder of malignant neoplasms
2509,C61,,Malignant neoplasm of prostate
2510,C62,,Remainder of malignant neoplasms
2511,C63,,Remainder of malignant neoplasms
2512,C64,,Remainder of malignant neoplasms
2513,C65,,Remainder of malignant neoplasms
2514,C66,,Remainder of malignant neoplasms
2515,C67,,Malignant neoplasm of bladder
2516,C68,,Remainder of malignant neoplasms
2517,C69,,Remainder of malignant neoplasms
2518,C70,,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
2519,C71,,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
2520,C72,,"Malignant neoplasm of meninges, brain and other parts of central nervous system"
2521,C73,,Remainder of malignant neoplasms
2522,C74,,Remainder of malignant neoplasms
2523,C75,,Remainder of malignant neoplasms
2524,C76,,Remainder of malignant neoplasms
2525,C77,,Remainder of malignant neoplasms
2526,C78,,Remainder of malignant neoplasms
2527,C79,,Remainder of malignant neoplasms
2528,C80,,Remainder of malignant neoplasms
2529,C81,,Remainder of malignant neoplasms
2530,C82,,Non-Hodgkin's lymphoma
2531,C83,,Non-Hodgkin's lymphoma
2532,C84,,Non-Hodgkin's lymphoma
2533,C85,,Non-Hodgkin's lymphoma
2534,C86,,Neoplasms
2535,C87,,Neoplasms
2536,C88,,Remainder of malignant neoplasms
2537,C89,,Neoplasms
2538,C90,,Multiple myeloma and malignant plasma cell neoplasms
2539,C91,,Leukaemia
2540,C92,,Leukaemia
2541,C93,,Leukaemia
2542,C94,,Leukaemia
2543,C95,,Leukaemia
2544,C96,,Remainder of malignant neoplasms
2545,C97,,Remainder of malignant neoplasms
2546,C98,,Neoplasms
2547,C99,,Neoplasms
2548,D00,,Remainder of neoplasms 
2549,D01,,Remainder of neoplasms 
2550,D02,,Remainder of neoplasms 
2551,D03,,Remainder of neoplasms 
2552,D04,,Remainder of neoplasms 
2553,D05,,Remainder of neoplasms 
2554,D06,,Remainder of neoplasms 
2555,D07,,Remainder of neoplasms 
2556,D08,,Remainder of neoplasms 
2557,D09,,Remainder of neoplasms 
2558,D10,,Remainder of neoplasms 
2559,D11,,Remainder of neoplasms 
2560,D12,,Remainder of neoplasms 
2561,D13,,Remainder of neoplasms 
2562,D14,,Remainder of neoplasms 
2563,D15,,Remainder of neoplasms 
2564,D16,,Remainder of neoplasms 
2565,D17,,Remainder of neoplasms 
2566,D18,,Remainder of neoplasms 
2567,D19,,Remainder of neoplasms 
2568,D20,,Remainder of neoplasms 
2569,D21,,Remainder of neoplasms 
2570,D22,,Remainder of neoplasms 
2571,D23,,Remainder of neoplasms 
2572,D24,,Remainder of neoplasms 
2573,D25,,Remainder of neoplasms 
2574,D26,,Remainder of neoplasms 
2575,D27,,Remainder of neoplasms 
2576,D28,,Remainder of neoplasms 
2577,D29,,Remainder of neoplasms 
2578,D30,,Remainder of neoplasms 
2579,D31,,Remainder of neoplasms 
2580,D32,,Remainder of neoplasms 
2581,D33,,Remainder of neoplasms 
2582,D34,,Remainder of neoplasms 
2583,D35,,Remainder of neoplasms 
2584,D36,,Remainder of neoplasms 
2585,D37,,Remainder of neoplasms 
2586,D38,,Remainder of neoplasms 
2587,D39,,Remainder of neoplasms 
2588,D40,,Remainder of neoplasms 
2589,D41,,Remainder of neoplasms 
2590,D42,,Remainder of neoplasms 
2591,D43,,Remainder of neoplasms 
2592,D44,,Remainder of neoplasms 
2593,D45,,Remainder of neoplasms 
2594,D46,,Remainder of neoplasms 
2595,D47,,Remainder of neoplasms 
2596,D48,,Remainder of neoplasms 
2597,D50,,Anaemias
2598,D51,,Anaemias
2599,D52,,Anaemias
2600,D53,,Anaemias
2601,D54,,Anaemias
2602,D55,,Anaemias
2603,D56,,Anaemias
2604,D57,,Anaemias
2605,D58,,Anaemias
2606,D59,,Anaemias
2607,D60,,Anaemias
2608,D61,,Anaemias
2609,D62,,Anaemias
2610,D63,,Anaemias
2611,D64,,Anaemias
2612,D65,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2613,D66,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2614,D67,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2615,D68,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2616,D69,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2617,D70,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2618,D71,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2619,D72,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2620,D73,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2621,D74,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2622,D75,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2623,D76,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2624,D77,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2625,D78,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2626,D79,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2627,D80,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2628,D81,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2629,D82,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2630,D83,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2631,D84,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2632,D85,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2633,D86,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2634,D87,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2635,D88,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2636,D89,,Remainder of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
2637,E00,,"Remainder of endocrine, nutritional and metabolic diseases"
2638,E01,,"Remainder of endocrine, nutritional and metabolic diseases"
2639,E02,,"Remainder of endocrine, nutritional and metabolic diseases"
2640,E03,,"Remainder of endocrine, nutritional and metabolic diseases"
2641,E04,,"Remainder of endocrine, nutritional and metabolic diseases"
2642,E05,,"Remainder of endocrine, nutritional and metabolic diseases"
2643,E06,,"Remainder of endocrine, nutritional and metabolic diseases"
2644,E07,,"Remainder of endocrine, nutritional and metabolic diseases"
2645,E08,,"Endocrine, nutritional and metabolic diseases"
2646,E09,,"Endocrine, nutritional and metabolic diseases"
2647,E10,,Diabetes mellitus
2648,E11,,Diabetes mellitus
2649,E12,,Diabetes mellitus
2650,E13,,Diabetes mellitus
2651,E14,,Diabetes mellitus
2652,E15,,"Remainder of endocrine, nutritional and metabolic diseases"
2653,E16,,"Remainder of endocrine, nutritional and metabolic diseases"
2654,E17,,"Remainder of endocrine, nutritional and metabolic diseases"
2655,E18,,"Remainder of endocrine, nutritional and metabolic diseases"
2656,E19,,"Remainder of endocrine, nutritional and metabolic diseases"
2657,E20,,"Remainder of endocrine, nutritional and metabolic diseases"
2658,E21,,"Remainder of endocrine, nutritional and metabolic diseases"
2659,E22,,"Remainder of endocrine, nutritional and metabolic diseases"
2660,E23,,"Remainder of endocrine, nutritional and metabolic diseases"
2661,E24,,"Remainder of endocrine, nutritional and metabolic diseases"
2662,E25,,"Remainder of endocrine, nutritional and metabolic diseases"
2663,E26,,"Remainder of endocrine, nutritional and metabolic diseases"
2664,E27,,"Remainder of endocrine, nutritional and metabolic diseases"
2665,E28,,"Remainder of endocrine, nutritional and metabolic diseases"
2666,E29,,"Remainder of endocrine, nutritional and metabolic diseases"
2667,E30,,"Remainder of endocrine, nutritional and metabolic diseases"
2668,E31,,"Remainder of endocrine, nutritional and metabolic diseases"
2669,E32,,"Remainder of endocrine, nutritional and metabolic diseases"
2670,E33,,"Remainder of endocrine, nutritional and metabolic diseases"
2671,E34,,"Remainder of endocrine, nutritional and metabolic diseases"
2672,E35,,"Endocrine, nutritional and metabolic diseases"
2673,E36,,"Endocrine, nutritional and metabolic diseases"
2674,E37,,"Endocrine, nutritional and metabolic diseases"
2675,E38,,"Endocrine, nutritional and metabolic diseases"
2676,E39,,"Endocrine, nutritional and metabolic diseases"
2677,E40,,Malnutrition
2678,E41,,Malnutrition
2679,E42,,Malnutrition
2680,E43,,Malnutrition
2681,E44,,Malnutrition
2682,E45,,Malnutrition
2683,E46,,Malnutrition
2684,E47,,"Endocrine, nutritional and metabolic diseases"
2685,E48,,"Endocrine, nutritional and metabolic diseases"
2686,E49,,"Endocrine, nutritional and metabolic diseases"
2687,E50,,"Remainder of endocrine, nutritional and metabolic diseases"
2688,E51,,"Remainder of endocrine, nutritional and metabolic diseases"
2689,E52,,"Remainder of endocrine, nutritional and metabolic diseases"
2690,E53,,"Remainder of endocrine, nutritional and metabolic diseases"
2691,E54,,"Remainder of endocrine, nutritional and metabolic diseases"
2692,E55,,"Remainder of endocrine, nutritional and metabolic diseases"
2693,E56,,"Remainder of endocrine, nutritional and metabolic diseases"
2694,E57,,"Remainder of endocrine, nutritional and metabolic diseases"
2695,E58,,"Remainder of endocrine, nutritional and metabolic diseases"
2696,E59,,"Remainder of endocrine, nutritional and metabolic diseases"
2697,E60,,"Remainder of endocrine, nutritional and metabolic diseases"
2698,E61,,"Remainder of endocrine, nutritional and metabolic diseases"
2699,E62,,"Remainder of endocrine, nutritional and metabolic diseases"
2700,E63,,"Remainder of endocrine, nutritional and metabolic diseases"
2701,E64,,"Remainder of endocrine, nutritional and metabolic diseases"
2702,E65,,"Remainder of endocrine, nutritional and metabolic diseases"
2703,E66,,"Remainder of endocrine, nutritional and metabolic diseases"
2704,E67,,"Remainder of endocrine, nutritional and metabolic diseases"
2705,E68,,"Remainder of endocrine, nutritional and metabolic diseases"
2706,E69,,"Remainder of endocrine, nutritional and metabolic diseases"
2707,E70,,"Remainder of endocrine, nutritional and metabolic diseases"
2708,E71,,"Remainder of endocrine, nutritional and metabolic diseases"
2709,E72,,"Remainder of endocrine, nutritional and metabolic diseases"
2710,E73,,"Remainder of endocrine, nutritional and metabolic diseases"
2711,E74,,"Remainder of endocrine, nutritional and metabolic diseases"
2712,E75,,"Remainder of endocrine, nutritional and metabolic diseases"
2713,E76,,"Remainder of endocrine, nutritional and metabolic diseases"
2714,E77,,"Remainder of endocrine, nutritional and metabolic diseases"
2715,E78,,"Remainder of endocrine, nutritional and metabolic diseases"
2716,E79,,"Remainder of endocrine, nutritional and metabolic diseases"
2717,E80,,"Remainder of endocrine, nutritional and metabolic diseases"
2718,E81,,"Remainder of endocrine, nutritional and metabolic diseases"
2719,E82,,"Remainder of endocrine, nutritional and metabolic diseases"
2720,E83,,"Remainder of endocrine, nutritional and metabolic diseases"
2721,E84,,"Remainder of endocrine, nutritional and metabolic diseases"
2722,E85,,"Remainder of endocrine, nutritional and metabolic diseases"
2723,E86,,"Remainder of endocrine, nutritional and metabolic diseases"
2724,E87,,"Remainder of endocrine, nutritional and metabolic diseases"
2725,E88,,"Remainder of endocrine, nutritional and metabolic diseases"
2726,F01,,Mental and behavioural disorders
2727,F02,,Mental and behavioural disorders
2728,F03,,Mental and behavioural disorders
2729,F04,,Mental and behavioural disorders
2730,F05,,Mental and behavioural disorders
2731,F06,,Mental and behavioural disorders
2732,F07,,Mental and behavioural disorders
2733,F08,,Mental and behavioural disorders
2734,F09,,Mental and behavioural disorders
2735,F10,,Mental and behavioural disorders due to psychoactive substance use
2736,F11,,Mental and behavioural disorders due to psychoactive substance use
2737,F12,,Mental and behavioural disorders due to psychoactive substance use
2738,F13,,Mental and behavioural disorders due to psychoactive substance use
2739,F14,,Mental and behavioural disorders due to psychoactive substance use
2740,F15,,Mental and behavioural disorders due to psychoactive substance use
2741,F16,,Mental and behavioural disorders due to psychoactive substance use
2742,F17,,Mental and behavioural disorders due to psychoactive substance use
2743,F18,,Mental and behavioural disorders due to psychoactive substance use
2744,F19,,Mental and behavioural disorders due to psychoactive substance use
2745,F20,,Remainder of mental and behavioural disorders
2746,F21,,Remainder of mental and behavioural disorders
2747,F22,,Remainder of mental and behavioural disorders
2748,F23,,Remainder of mental and behavioural disorders
2749,F24,,Remainder of mental and behavioural disorders
2750,F25,,Remainder of mental and behavioural disorders
2751,F26,,Remainder of mental and behavioural disorders
2752,F27,,Remainder of mental and behavioural disorders
2753,F28,,Remainder of mental and behavioural disorders
2754,F29,,Remainder of mental and behavioural disorders
2755,F30,,Remainder of mental and behavioural disorders
2756,F31,,Remainder of mental and behavioural disorders
2757,F32,,Remainder of mental and behavioural disorders
2758,F33,,Remainder of mental and behavioural disorders
2759,F34,,Remainder of mental and behavioural disorders
2760,F35,,Remainder of mental and behavioural disorders
2761,F36,,Remainder of mental and behavioural disorders
2762,F37,,Remainder of mental and behavioural disorders
2763,F38,,Remainder of mental and behavioural disorders
2764,F39,,Remainder of mental and behavioural disorders
2765,F40,,Remainder of mental and behavioural disorders
2766,F41,,Remainder of mental and behavioural disorders
2767,F42,,Remainder of mental and behavioural disorders
2768,F43,,Remainder of mental and behavioural disorders
2769,F44,,Remainder of mental and behavioural disorders
2770,F45,,Remainder of mental and behavioural disorders
2771,F46,,Remainder of mental and behavioural disorders
2772,F47,,Remainder of mental and behavioural disorders
2773,F48,,Remainder of mental and behavioural disorders
2774,F49,,Remainder of mental and behavioural disorders
2775,F50,,Remainder of mental and behavioural disorders
2776,F51,,Remainder of mental and behavioural disorders
2777,F52,,Remainder of mental and behavioural disorders
2778,F53,,Remainder of mental and behavioural disorders
2779,F54,,Remainder of mental and behavioural disorders
2780,F55,,Remainder of mental and behavioural disorders
2781,F56,,Remainder of mental and behavioural disorders
2782,F57,,Remainder of mental and behavioural disorders
2783,F58,,Remainder of mental and behavioural disorders
2784,F59,,Remainder of mental and behavioural disorders
2785,F60,,Remainder of mental and behavioural disorders
2786,F61,,Remainder of mental and behavioural disorders
2787,F62,,Remainder of mental and behavioural disorders
2788,F63,,Remainder of mental and behavioural disorders
2789,F64,,Remainder of mental and behavioural disorders
2790,F65,,Remainder of mental and behavioural disorders
2791,F66,,Remainder of mental and behavioural disorders
2792,F67,,Remainder of mental and behavioural disorders
2793,F68,,Remainder of mental and behavioural disorders
2794,F69,,Remainder of mental and behavioural disorders
2795,F70,,Remainder of mental and behavioural disorders
2796,F71,,Remainder of mental and behavioural disorders
2797,F72,,Remainder of mental and behavioural disorders
2798,F73,,Remainder of mental and behavioural disorders
2799,F74,,Remainder of mental and behavioural disorders
2800,F75,,Remainder of mental and behavioural disorders
2801,F76,,Remainder of mental and behavioural disorders
2802,F77,,Remainder of mental and behavioural disorders
2803,F78,,Remainder of mental and behavioural disorders
2804,F79,,Remainder of mental and behavioural disorders
2805,F80,,Remainder of mental and behavioural disorders
2806,F81,,Remainder of mental and behavioural disorders
2807,F82,,Remainder of mental and behavioural disorders
2808,F83,,Remainder of mental and behavioural disorders
2809,F84,,Remainder of mental and behavioural disorders
2810,F85,,Remainder of mental and behavioural disorders
2811,F86,,Remainder of mental and behavioural disorders
2812,F87,,Remainder of mental and behavioural disorders
2813,F88,,Remainder of mental and behavioural disorders
2814,F89,,Remainder of mental and behavioural disorders
2815,F90,,Remainder of mental and behavioural disorders
2816,F91,,Remainder of mental and behavioural disorders
2817,F92,,Remainder of mental and behavioural disorders
2818,F93,,Remainder of mental and behavioural disorders
2819,F94,,Remainder of mental and behavioural disorders
2820,F95,,Remainder of mental and behavioural disorders
2821,F96,,Remainder of mental and behavioural disorders
2822,F97,,Remainder of mental and behavioural disorders
2823,F98,,Remainder of mental and behavioural disorders
2824,F99,,Remainder of mental and behavioural disorders
2825,G00,,Meningitis
2826,G01,,Diseases of the nervous system
2827,G02,,Diseases of the nervous system
2828,G03,,Meningitis
2829,G04,,Remainder of diseases of the nervous system
2830,G05,,Remainder of diseases of the nervous system
2831,G06,,Remainder of diseases of the nervous system
2832,G07,,Remainder of diseases of the nervous system
2833,G08,,Remainder of diseases of the nervous system
2834,G09,,Remainder of diseases of the nervous system
2835,G10,,Remainder of diseases of the nervous system
2836,G11,,Remainder of diseases of the nervous system
2837,G12,,Remainder of diseases of the nervous system
2838,G13,,Remainder of diseases of the nervous system
2839,G14,,Remainder of diseases of the nervous system
2840,G15,,Remainder of diseases of the nervous system
2841,G16,,Remainder of diseases of the nervous system
2842,G17,,Remainder of diseases of the nervous system
2843,G18,,Remainder of diseases of the nervous system
2844,G19,,Remainder of diseases of the nervous system
2845,G20,,Remainder of diseases of the nervous system
2846,G21,,Remainder of diseases of the nervous system
2847,G22,,Remainder of diseases of the nervous system
2848,G23,,Remainder of diseases of the nervous system
2849,G24,,Remainder of diseases of the nervous system
2850,G25,,Remainder of diseases of the nervous system
2851,G26,,Diseases of the nervous system
2852,G27,,Diseases of the nervous system
2853,G28,,Diseases of the nervous system
2854,G29,,Diseases of the nervous system
2855,G30,,Alzheimer's disease
2856,G31,,Remainder of diseases of the nervous system
2857,G32,,Remainder of diseases of the nervous system
2858,G33,,Remainder of diseases of the nervous system
2859,G34,,Remainder of diseases of the nervous system
2860,G35,,Remainder of diseases of the nervous system
2861,G36,,Remainder of diseases of the nervous system
2862,G37,,Remainder of diseases of the nervous system
2863,G38,,Remainder of diseases of the nervous system
2864,G39,,Remainder of diseases of the nervous system
2865,G40,,Remainder of diseases of the nervous system
2866,G41,,Remainder of diseases of the nervous system
2867,G42,,Remainder of diseases of the nervous system
2868,G43,,Remainder of diseases of the nervous system
2869,G44,,Remainder of diseases of the nervous system
2870,G45,,Remainder of diseases of the nervous system
2871,G46,,Remainder of diseases of the nervous system
2872,G47,,Remainder of diseases of the nervous system
2873,G48,,Remainder of diseases of the nervous system
2874,G49,,Remainder of diseases of the nervous system
2875,G50,,Remainder of diseases of the nervous system
2876,G51,,Remainder of diseases of the nervous system
2877,G52,,Remainder of diseases of the nervous system
2878,G53,,Remainder of diseases of the nervous system
2879,G54,,Remainder of diseases of the nervous system
2880,G55,,Remainder of diseases of the nervous system
2881,G56,,Remainder of diseases of the nervous system
2882,G57,,Remainder of diseases of the nervous system
2883,G58,,Remainder of diseases of the nervous system
2884,G59,,Remainder of diseases of the nervous system
2885,G60,,Remainder of diseases of the nervous system
2886,G61,,Remainder of diseases of the nervous system
2887,G62,,Remainder of diseases of the nervous system
2888,G63,,Remainder of diseases of the nervous system
2889,G64,,Remainder of diseases of the nervous system
2890,G65,,Remainder of diseases of the nervous system
2891,G66,,Remainder of diseases of the nervous system
2892,G67,,Remainder of diseases of the nervous system
2893,G68,,Remainder of diseases of the nervous system
2894,G69,,Remainder of diseases of the nervous system
2895,G70,,Remainder of diseases of the nervous system
2896,G71,,Remainder of diseases of the nervous system
2897,G72,,Remainder of diseases of the nervous system
2898,G73,,Remainder of diseases of the nervous system
2899,G74,,Remainder of diseases of the nervous system
2900,G75,,Remainder of diseases of the nervous system
2901,G76,,Remainder of diseases of the nervous system
2902,G77,,Remainder of diseases of the nervous system
2903,G78,,Remainder of diseases of the nervous system
2904,G79,,Remainder of diseases of the nervous system
